用户ID,评论内容,购买时间,点赞数,回复数,得分,评价时间,手机型号
15596987294,一直想买个扫地机器人的，肖战代言石头后，毫不犹豫就预定了，付了尾款，到货很快。使用感受很不错，扫的干净，噪音小，解放了老腰啊。小飞侠很满意,2021-03-29 10:38:00,30,1,5,2021-04-24 17:15:07,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15640838098,这款扫地机器人提升很大，越障能力很强，扫的很干净，智能化程度很高，软件设置也很丰富，上午试了扫地，效果很好，平时自己打扫不到的地方，它都给扫干净了。,2021-05-01 00:01:47,1,1,5,2021-05-06 17:40:02,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15631745703,京东的发货速度超快的，当天早上下单，下午就收到了用了一天才来评价，噪音很小，可以一边工作一边清扫，节约了很多的打扫卫生的时间，这款机器人的颜值很高，语音功能有大概十种吧，都很有特色，很喜欢可以自动回充，自己找到充电座很智能,2021-05-01 07:09:49,0,1,5,2021-05-04 10:59:23,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15619265672,扫地机器人很好用，比T6功能更强大，智能化又有很大提升，吸力很大，声音适中，拖地很干净。,2021-04-26 07:25:30,2,1,5,2021-04-30 15:29:02,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15639617144,非常好用，灵敏游转，边边角角，尽力清扫。自动回充，任意打扫顺序，省心省力。地面光洁铮亮，心情无限舒畅。忠诚老实的小石头，家庭主妇的好助手。,2021-05-01 00:00:06,1,1,5,2021-05-06 12:20:39,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15785266150,石头扫地机器人已经收到了，肖战语音包我感觉可以一直听都听不厌，开始没设置好地图，小石头偶尔还会被卡到缝隙里，后来设置了地图虚拟墙就好了，还可以远程手机操作，很方便，下班前开启，回到家就可以看到打扫的干干净净了，超级棒，终于可以解放双手了。还有，期待石头的后续惊喜,2021-05-25 13:45:27,0,1,5,2021-06-09 20:29:23,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15856043817,朋友推荐的，确实好用，吸力强劲，声音可以接受，机器人清理的很干净，猫咪的毛毛吸了很多，不会缠毛友，好喜欢，有种相见恨晚的感觉，操作简单，地板擦够不着的地方，有机器人补充上，值得拥有，再搞活动打算给老人再买台,2021-06-18 00:00:04,0,1,5,2021-06-23 10:27:49,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15578828237,现在的扫地机器人真的很智能化，操作很秀，2500p吸力足够，关键的声音真的很小，这点非常出乎意料之外，机身很重，轮子大能越过推拉门的门槛(1cm左右)，续航能力也很好,2021-04-09 23:40:53,5,1,5,2021-04-19 20:32:54,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15751143765,包装完整，速度特别快，真的是成功之父！扫地和拖地就拜托&ldquo;有钱的有钱&rdquo;啦！智能识别障碍物，灵敏度高，拖地真的很干净，工作声音不大，不会影响小朋友完成作业，以上是肖战粉丝小飞侠使用报告！,2021-05-24 20:39:27,3,2,5,2021-06-02 19:35:52,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15714897062,"很可爱智能的一款机器人，操作相对也算简单，开机后就自动绕着房间反复转，加上吸尘效果好，所以清扫的算是很干净。还可转换拖地功能 ，边扫边拖，放个水盒换上自配的小拖布就好。
可以连手机app，直接在远处手机上就能操作，如果只清扫一个房间注意关门，今天没关门它就自己转出去了。也可以自己设定区域，跑完一遍后就会记录经过的区域，也可以自己设定选择要扫拖的位置。

朋友家以前有一款据说很方便，看到肖战代言后也买了，确实好用。当时只有t7s，听说t7s plus有自动避障雷达，其实t7s遇到障碍也还行，钻桌角啊，床底啊，都相当灵活。

按返回键就可以自动返回到充电座充电，手机和机器都能操作，不过返回充电时机器人不能离充电座太远。

赠送的过滤器拖布等也很不错",2021-03-29 10:36:57,1,1,5,2021-05-25 00:44:24,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15754115901,快递小哥送上来就马上使用了，打扫得非常干净，比自己打扫的还干净，也非常智能，碰到东西试两次就走了不会一直撞，地毯也吸的很干净，掉头发粘在上面也不用费力去刷了，声音在正常接受范围，推荐,2021-05-30 09:37:43,0,1,5,2021-06-03 12:37:06,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15591489898,使用一周，清扫七八次。效果不错，比起上一代，拖地功能有很大改善，基本上能够解决家庭清洁的需求，而且标准够高。安装也很简单，操作用aPP就好了，省心省力。打九十分！,2021-04-09 19:01:25,9,1,5,2021-04-23 08:46:34,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15755792673,今年算是给618大出血了，买的石头t7s扫拖地一体机到了，带娃模式下的得力小助手，特地这几天没打扫地面，今天用了一下，效果杠杠的。可以app远程操作，划区打扫，不同模式声音大小也不同，可以接受，相当智能了。从此一机在手，家务不愁了。[吃瓜],2021-06-02 06:49:47,1,1,5,2021-06-03 18:27:23,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15839230970,颜值很高，功能也齐全，我家刚交房地面太脏了，还没有测试实际效果，看上去不错，扫加拖试了一分钟，拖布已经脏的不成样子了，噪音适中吧，比吸尘器噪音小多了,2021-06-16 12:28:54,1,1,5,2021-06-20 14:07:31,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15582657829,东西很好，满足我的要求，集尘必备，省心省力！拖地不滴水，地板福音，要是能上结构光就好了，避障有提升空间！目前白天预约，很顺畅完成任务！,2021-04-15 00:00:06,0,1,5,2021-04-20 20:28:50,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15592351589,看到肖战代言，了解产品功能后买了一台试用，石头扫地机器人太好用了，扫擦特别干净，还能指定位置精细擦地，沙发底下，床底下都能擦到，扫擦结束后自己返回充电座充电，全家人都超级满意，又买了一台送给朋友。,2021-04-01 19:04:31,14,1,5,2021-04-23 12:42:44,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15831842955,终于收到了我心心念念的机器人，小石头跟它的代言人一样又帅气又有内涵！哈哈哈，颜值高且好用，扫地非常干净，声音相对也小，而且能躲避拖鞋等小障碍物！,2021-06-09 20:10:42,0,1,5,2021-06-19 09:39:41,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15557080067,"等了好久终于卡在0点补了尾款，次日就送到了！京东物流是真的很棒！
没有用石头APP直接用米家连的应该都一样。试用了两次，家里比较小地上没有什么杂物，避障完全没有问题，打扫的也很细致，尘盒里是第一次打扫的战利品，不得不说&hellip;比我扫的干净多了！拖地也不会有水印。
目前发现只支持边扫边拖，或者只扫地，本来我以为是扫一次屋子之后再拖一次呢，看来是我想错了！连接小爱可以进行简单指令，但无法对已划分区域精确下达指令清扫，不过完全不影响使用感受。
总而言之！这款机器人物有所值解放双手！相信石头！相信肖战！百香果姐姐永远支持肖战！",2021-03-30 07:50:57,15,2,5,2021-04-15 21:14:09,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15841266366,新房刚好装修完，朋友是小飞侠推荐了肖战代言的石头，试用过后真的太香了，非常智能，声音在可接受范围内，最重要的是拖的地太干净了，锃光瓦亮都不为过，以前家里打扫的重灾区床底下也能进去拖的一干二净，以后家里的地就靠它拯救了,2021-06-17 23:00:12,0,1,5,2021-06-20 19:57:59,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15680431009,很早就想买个扫地机器人，看了很多评测确定了石头T7，出来个T7s赶紧下手，保价618，2年质保，很不错。这个绝对是懒人神器，和洗碗机一样，对决是后悔买太晚系列。,2021-05-13 00:22:19,0,1,5,2021-05-16 19:24:27,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15574804758,小石头安装简单上手快，地图识别很智能，规划的也合理，没有太多重复不清的。噪音不大，清扫也很干净，真是不错，解放双手了,2021-04-03 19:28:25,3,1,5,2021-04-18 19:46:21,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15759035392,解放双手！！打扫有四挡，最小那档也适合家里了，跑出来很多灰尘，比自己扫干净多了！！声音不大，扫完就拖，方便,2021-06-02 22:44:14,1,1,5,2021-06-04 12:10:44,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15590627882,这款扫地机器人使用很顺畅，可以手机APP操作，点哪儿扫哪儿，还能设置虚拟禁区和隔离墙，扫拖一体，挺干净的。每天拖一遍，地面干干净净。,2021-04-06 21:52:08,2,1,5,2021-04-22 21:46:42,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15866637553,家里新添的得力小帮手&mdash;石头T7Splus，非常能干，洗拖一体，把家里打扫得干干净净，真正实现了光脚自由～,2021-06-17 05:47:11,0,1,5,2021-06-25 09:23:34,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15563135051,肖战粉丝小飞侠晒单来啦！昨天刚收到我的T7S扫拖机器人，就迫不及待地派它去打扫我家很久没打扫过的床底了，哈哈哈感觉太对不起它了！但是小石头是真能干，边扫边拖，打扫得很干净，特别棒！手机APP一键搞定，很方便！感谢肖战代言石头，让我解放双手！,2021-03-30 10:46:27,49,2,5,2021-04-16 15:59:02,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15755675317,赶上618做活动，价格合适，果断下单。送货非常快，收到后迫不及待拆箱，做工很精致，功能很强大，颜值也在线。app功能好用，绘制地图功能非常好用，清洁力也很强。非常满意的一次购物，详细使用后，在细细评价。总之，五星好评,2021-06-01 00:07:41,0,1,5,2021-06-03 18:03:00,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15864297088,声音很小.外观超美～吸力很棒.敏感成度很高.越障能力超强.续航时间也很长.噪音非常小解放双手了～完美！,2021-06-18 07:10:53,0,1,5,2021-06-24 18:57:22,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15570976417,晒单～清扫得非常干净，地图算法很完善，每一个能进去的角落都能照顾到；灵敏不会迷路，不会卡顿；续航能力强，房间打扫两遍不是问题；噪音小，声音不刺耳，让人觉着平和。非常喜欢这款产品！,2021-03-29 12:49:28,4,1,5,2021-04-17 19:36:41,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15564489257,"零点付款，第二天就收到了！包装很好挺重的一台！拆开试了一下，操作简单，打开电源直接就开扫了。拿出水箱加入水装上打湿的拖布就可以开启扫拖功能。看着这个白胖子在地上转来转去工作还怪可爱的?
吸力大小：吸力挺大的，日常清扫完全无压力
智能程度：可以连接手机使用app功能更多更智能
灵敏程度：如视频，很灵敏
噪音大小：和浴霸的换气声音差不多吧
语音功能还没使用，后续也还要探索更多功能，说明书写得很详细，厚厚一本哈哈哈哈可以好好研究一下
代言人肖战好帅啊！肖战亲选，值得信赖，霞姐永远支持肖战哈！",2021-03-29 19:52:17,11,1,5,2021-04-16 22:33:57,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15854659361,试用好几天，每天都可以吸出很多脏东西，各种灰尘，而且不常绕头发，非常好清理，吸的非常干净，很满意，唯一不足就是自己手洗抹布，但是可以接受，相对比每天洗地，洗个拖布还是非常简单的,2021-06-16 00:32:37,0,1,5,2021-06-22 23:34:48,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15573770756,清洁能力很强，家里大概120平米面积需要清理，半个多小时，一尘不染。地图扫描的很精准，两个卧室的床下面是清洁死角，爸妈说小机器人把下面的灰尘全部打扫干净了，他们倒尘盒的时候倒出来了很多。噪音几乎没有，就是正常的清扫的声音。我妈对噪音是非常敏感的，都完全可以接受。给石头科技ts7系列大大的好评！不知道会不会在国外上市啊，我自己是长居欧洲，要是也能买到就好了。,2021-03-29 18:32:30,18,1,5,2021-04-18 15:03:06,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15620044715,机器人扫地机太好用，太智能了。自从用了它，我家的地板都亮了，床底，沙发底下积攒长时间的灰尘也清干净了。家里一尘不染。真心好用，懒人的福音！,2021-04-27 15:14:30,0,1,5,2021-04-30 19:30:52,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15564169845,预定的今天到货了，第一次听这个牌子是因为代言人肖战，本来不抱什么期待，纯粹只是想支持偶像代言。没想到这石头扫地机器人带给我这么大的惊喜。首先是外形，很有设计感。电量很足，很耐用，我都用了一下午，没电会自己回去充电。挺智能的，清扫得非常干净，地上的头发，毛絮，全部吸入盒中。自动避开障碍物，房间死角，桌子底，沙发底也能清扫干净。这样就不用天天拖地那么累了，有了石头扫地机，生活干净又美好。,2021-03-29 16:23:41,11,1,5,2021-04-16 20:57:36,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15776506043,非常智能，擦地很干净，可以用小爱同学控制选区轻扫，识别地毯擦地模块可能抬起，特别特别好,2021-06-01 21:45:10,0,1,5,2021-06-07 23:05:06,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15765568583,昨天收到今天就让小石头工作了。家里有狗掉毛清扫得很干净，头发也不会缠绕很好清理，说明书提示先清扫三次后再拖地，暂时没用拖地功能，等后续追评。代言人肖战超帅,2021-05-31 10:44:16,1,1,5,2021-06-05 18:16:11,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15593608988,小飞侠支持肖战代言，通过肖战知道石头扫地机器人，果断抢购，收到货后效果让人惊喜，声音小，吸力大，家里天天搞卫生的，第一次用后居然还扫出一盒子灰??，现在天天用，比自己搞卫生干净。石头机器人规划路线那也是杠杠的，返航充电直接最短路径很智能，特别人性化还有代言人语音提示，解放双手好产品值得推荐???,2021-04-01 16:01:55,11,1,5,2021-04-23 18:40:40,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15564403217,"小飞侠来啦
昨天付了尾款，今天中午就收到了肖战代言的石头扫拖机器人T7s
真的特别棒！
首先打开就是完整的，完全不需要拼装，手残党放心入，先组装好充电线(扫码看说明视频)，送她去充电，冲的差不多了，就陪着她一起去扫地吧！
第一遍一定要陪着她，因为要建构房间，有不想扫的屋子提前关好，把地上都收拾一下，不要留杂物，特别是电线之类~
石头机器人避障的能力特别强，动起来速度也很快，但是当前方有障碍物的时候，就会感应到，提前减速，轻轻的碰上去试探，真的太可爱了
屋子打扫完之后，地图也就出来了，我第一次建构就很规整完美，如果不喜欢可以再次建构
说明书说第一次扫地可以扫3次，家里不是很脏，只扫了一遍就很干净了
有了地图之后可以分区，这样以后可以只打扫一件房屋，特别人性化
充电也比较快，当她清扫完之后会自己回去充电，哈哈哈哈真的好可爱
第一次我不知道，我以为原地停住，结果我听到肖战的声音说我需要充电，然后她就开始快速移动了，我赶紧手忙脚乱去插充电器，差点让她回去找不到
还没有拖地，因为比较晚了，明天再拖
给大家参考一下，我家136平，只打扫了两间卧室和客厅餐厅，花了45分钟，很干净，共耗电20%",2021-03-29 15:17:37,29,1,5,2021-04-16 22:06:46,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15853192396,家里买的小米机器人是石头家代工的，用了2年了一直挺好的，吸的也挺干净的。想着没有拖地的功能，趁着t7S plus出了正好可以更新换代了。避障的效果非常的不错，拖地板的效果也很棒。希望能够坚挺的用上3年~,2021-06-16 00:07:19,0,1,5,2021-06-22 19:41:16,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15582166682,石头扫地机真心不错，扫地拖地都很干净，真正的解放了这双劳动的手啊！而且还很聪明，自己会规划打扫路线，扫完后，自动回充，垃圾满了了好打理，真的很方便省事，虽然还没研究透彻，但有了它的帮忙，这几天家里的却干净了好多，也不用每天下班回家亲自动手了！本肖战粉丝小飞侠很满意！,2021-03-30 12:05:02,12,1,5,2021-04-20 18:16:43,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15588646363,石头吸的比较干净，可以拖扫一起，很省力，拖布拖完方便清洗。声音可以接受，不吵。整体用起来感觉很棒！肖战粉丝百香果支持肖战代言！,2021-03-29 11:56:13,5,1,5,2021-04-22 12:34:22,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15568648041,下载APP，调试非常方便。第1次应该是全屋扫描熟悉环境，时间有点长。地拖扫得比我干净，角角落落我平常扫不到的地方，都扫到了，吸了好多灰，哈哈。拖地地面的湿度非常认可，清理也很方便。运转声音在正常接受范围内。对肖战先生推荐的产品一百个放心，实测完美。,2021-03-29 16:07:44,5,1,5,2021-04-17 08:29:52,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15747279257,六一节的礼物，物流好快，凌晨付的尾款，下午就到货了，初步试了一下，操作方便，小石头经过的地方挺干净的，这下是彻底解放了双手，超喜欢，还有肖战的语音，果然肖战代言的产品质量杠杠的，以后会继续支持肖战代言。,2021-05-28 07:44:02,1,1,5,2021-06-01 23:46:07,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15848145148,这个云石白颜色很高级，脏了很容易擦干净，到处走的时候很治愈。 运转声音：声音不大，换个房间就听不到了，就算在同一个房间，也不会感觉吵杂。 线路规划：很智能，会自动规划路线，不愧走很多回头路，每个地方都能找得到。 续航能力：续航能力，不错，100多平方米的房子，一个多小时就清洁完了，余电还有40%左右，遇到难清扫的路线都能扫完。 扫地效果：很干净，比我拖的干净，解放双手，再也不用每几天拖一次地了，地板很干净，看着就很舒服。,2021-06-16 01:38:32,0,1,5,2021-06-21 22:25:23,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15568647808,"肖战粉丝小飞侠来汇报使用感觉。15日零点付尾款，15日傍晚就送货上门了，京东快递给力。包装简洁大气，代言人的照片非常亮眼。
简单看过说明书，就给石头找好位置充电了，等吃过晚饭，到九点多钟充好电，第一次工作，吸尘的声音比原来一台扫地机轻，基本不影响学习和休息。自动规划房间清扫路线，很智能，连接wife配合app可以手机操控，很nice。拖地功能暂未使用，等用了再追评。总之是性价比非常高的一款智能扫拖一体机，好评！",2021-03-29 15:56:08,18,1,5,2021-04-17 08:29:46,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15797946950,小石头到家一段时间了，今天才得空拆开安装，真的太惊喜了，比家里之前那个旧的扫地机好用太多太多了。小石头运行平稳，一点噪音都没有，AI智能避障超级给力，在家里的地毯上也能平稳上下清扫运行。客服小姐姐特别负责任，我一开始找不到战战的语音包，客服小姐姐很耐心地教给我怎么去找语音包。听到战战的语音，看着小石头灵活地在家里走来走去，真的特别特别幸福。家里有狗子，居然破天荒地没有冲小石头嚷嚷。以前那个旧的扫地机器**子见到就叫个不停。嘿嘿嘿战战果然是世界和平大使???很喜欢小石头，我会好好对他的?,2021-05-24 22:36:20,2,2,5,2021-06-12 17:28:06,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15848645461,"吸力大小：很强劲，平时快回家了就打开，所以听不到啥噪音
智能程度：躲避障碍物和小猫反应都很迅速
越障能力：地毯识别迅速，可以简单的清理下地毯，但是最好还是拿专用的吸尘器再吸一下
续航时间：足够打扫了，我的房间可以连续打扫2次
最好的是终于可以打扫床底了。",2021-06-17 00:13:36,0,1,5,2021-06-22 00:42:33,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
