用户ID,评论内容,购买时间,点赞数,回复数,得分,评价时间,型号
15908884918,方便实用的小型按摩器，性价比不错,2021-06-01 21:03:14,0,0,5,2021-07-02 11:27:32,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15908700645,东西整体还可以！就是有点小！捶打的力度也凑活！感觉还是差点事！整体还说还算凑活吧！,2021-07-01 06:47:54,0,0,5,2021-07-02 10:49:14,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15907815190,很好用 不同档位不同方式 十分钟会自己停,2021-06-16 09:41:46,0,0,5,2021-07-02 06:54:04,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15902542415,肖战粉丝小飞侠来啦，这个真的很舒服,2021-06-25 09:39:54,0,0,5,2021-07-01 12:54:59,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15901780886,给家里人买的 大品牌应该不错,2021-05-08 09:55:42,0,0,5,2021-07-01 11:11:39,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15900877846,很好用相当不错,2021-05-12 10:03:36,0,0,5,2021-07-01 09:06:32,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15900291725,捶打舒服，就是按摩材料不好,2021-06-24 16:18:37,0,0,5,2021-07-01 07:21:47,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15898538124,支持肖战代言。,2021-06-17 08:33:28,0,0,5,2021-06-30 22:53:19,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15898147676,肖战粉丝小飞侠支持肖战代言，买给爸妈平时用用，实惠也好操作，要是倍轻松做按摩椅就好了,2021-06-11 21:30:04,0,0,5,2021-06-30 21:27:54,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15896581239,挺好的，力度大小选择特别多！,2021-06-26 02:56:49,0,0,5,2021-06-30 16:09:57,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15895469431,小飞侠支持肖战代言，这个按摩披肩真的性价比超高，多种敲打模式多种力度还能加热，可按摩肩颈背部腰部腿部腹部等，每次10分钟，放松身体，缓解疲劳。,2021-06-18 21:52:03,0,0,5,2021-06-30 12:38:12,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15895326363,不错,2021-06-20 19:49:10,0,0,5,2021-06-30 12:07:31,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15895049025,超级舒服?第一次买这种按摩颈部的，本来那几天不舒服，用过之后好多了，带回去给爸妈用了，准备再买一个自己，真的超赞?还想买那个魔爪,2021-06-07 12:27:49,0,0,5,2021-06-30 11:11:43,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15894679082,好的,2021-06-29 19:23:34,0,0,5,2021-06-30 10:09:58,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15894465721,给爸爸买的，反应很好！,2021-06-08 07:23:19,0,0,5,2021-06-30 09:33:38,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15893891727,功能强大 ，实用性强 ，服务到位 。,2021-06-19 16:31:12,0,0,5,2021-06-30 07:13:40,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15893802968,非常好用，很优惠。肖战粉丝小飞侠支持肖战代言,2021-06-06 04:03:16,0,0,5,2021-06-30 06:47:16,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15892448033,非常好，很舒服，敲过脖子舒服多了，肖战粉丝小飞侠支持肖战代言,2021-06-19 21:29:54,0,0,5,2021-06-29 21:50:44,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15890196718,简直太好用了，只能用完美来形容！强烈推荐！一下买了3个。,2021-06-18 23:33:23,0,0,5,2021-06-29 16:12:55,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15889174414,按的挺舒服的 就是有点沉 用起来还算方便 挺好的,2021-06-25 10:26:17,0,0,5,2021-06-29 13:20:49,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15889142795,使用起来很方便，有多种模式力度，可调节，可加热。已经是第二次购买，这种材质不容易老化蜕皮。还送给了一个同种材质的袋子。不错哦,2021-06-24 18:18:16,0,0,5,2021-06-29 13:12:10,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15888968440,小飞侠来了，按摩披肩非常实用，多种模式多种力度，性价比超级高，买给老豆的父亲节礼物，用过都说好,2021-06-18 20:07:52,0,0,5,2021-06-29 12:35:07,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15888406985,很好,2021-06-18 00:09:31,0,0,5,2021-06-29 10:55:47,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15888281540,肖战粉丝小飞侠支持肖战代言，妈妈说很好用，好开心！,2021-06-10 00:10:03,0,0,5,2021-06-29 10:35:10,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15888056492,看到肖战的小飞侠推荐买的，果然好用，很舒服,2021-06-11 16:34:10,0,0,5,2021-06-29 10:00:41,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15887829064,下单送婆婆，太好用了又下一单送妈妈,2021-06-08 14:20:55,0,0,5,2021-06-29 09:20:58,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15884658825,小飞侠支持肖战代言，我妈老是肩膀酸痛买给给我妈妈用的，按摩很舒服还可以调力度和模式，推荐！,2021-06-18 02:36:33,0,0,5,2021-06-28 18:07:38,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15883835986,因为肖战代言了解了倍轻松，618有活动购买的这款简直太惊喜了！超实惠超好用！肖战粉丝小飞侠支持肖战代言！,2021-06-06 13:26:03,0,0,5,2021-06-28 15:46:32,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15883701743,太划算了，送给爸妈的。说用着很好,2021-06-20 18:26:06,0,0,5,2021-06-28 15:24:29,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15882663894,不错不错 在京东买很便宜，爸爸很喜欢,2021-06-20 12:42:22,0,0,5,2021-06-28 12:25:35,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15881570546,肖战粉丝小飞侠支持肖战代言，性价比很高，使用起来感觉很好，非常完美.^?^.,2021-06-18 17:17:52,0,0,5,2021-06-28 08:58:57,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15881513972,力道很足＇用起来很舒服,2021-06-07 08:46:19,0,0,5,2021-06-28 08:45:19,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15881410381,好,2021-05-18 07:51:16,0,0,5,2021-06-28 08:12:06,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15881315767,很好用，特别是外面软软的麓皮的面，贴着皮肤很舒服,2021-06-24 12:55:29,0,0,5,2021-06-28 07:36:02,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15880345272,真的很棒，卖给奶奶的，她十分喜欢！还有，小飞侠支持肖战！,2021-06-26 20:50:16,0,0,5,2021-06-27 22:30:16,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15879529677,非常好用的，物流很快,2021-06-26 13:37:50,0,0,5,2021-06-27 19:47:32,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15877450313,肖战代言的东西都好用，小飞侠支持肖战，买回来给全家都捶背了,2021-06-20 20:16:05,0,0,5,2021-06-27 13:09:49,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15877383371,拿到就拆开试了，挺舒服的，以前没关注过这个，肖战代言后，买了好几款，用后这款性价比最高，比较实惠，都可以下手买来试试，入股不亏，买给老人用也方便，力度有好几种，可以调节，轻了重了都可以调，挺方便的，真的推荐有需要的可以买来试试！肖战粉丝小飞侠用后真实评价??,2021-06-26 12:43:32,0,0,5,2021-06-27 12:57:55,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15877097986,肖战粉丝小飞侠支持肖战 上班族电脑族有这个 真的是救命 我是直接放办公椅上 一边上班一边按摩 嘿嘿 肚子不舒服 还有热功能 可以敷肚子 有好多种模式 总有一款适合你 这个不单单只是按肩膀 哪里需要可以把按摩放哪里 效果不错 当然还是建议您可以按功能购买,2021-06-20 00:26:30,0,0,5,2021-06-27 11:52:12,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15876248320,肖战粉丝小飞侠支持肖战代言！送给老爸的父亲节礼物，他们试了一下很好用！hhh喜欢?,2021-06-18 14:21:14,0,0,5,2021-06-27 08:48:33,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15874933437,很好，家里老人很喜欢。,2021-06-25 21:54:10,0,0,5,2021-06-26 21:36:56,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15874906049,到货后马上试了试，效果很好买得值。,2021-06-18 11:14:00,0,0,5,2021-06-26 21:31:35,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15874341690,用起来真的是很舒服！肖战粉丝小飞侠支持肖战代言！,2021-06-16 16:10:31,0,0,5,2021-06-26 19:29:03,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15874056585,非常好用！,2021-06-24 08:50:17,0,0,5,2021-06-26 18:24:14,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15873615098,跟着代言人买买买，不错,2021-06-04 09:21:02,0,0,5,2021-06-26 16:59:15,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15873401314,小飞侠支持肖战代言。按摩器很好用，非常舒服，物美价廉，很满意。,2021-06-24 16:55:50,0,0,5,2021-06-26 16:21:51,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15872858630,"捶打披肩不错，力度可以调模式，很舒服！因为肖战所以才了解的产品！这个披肩非常值得购买！
肖战粉丝小飞侠留爪爪！",2021-06-10 12:31:55,0,0,5,2021-06-26 14:35:37,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15872726379,这么便宜竟然能买到这么好的东西，很方便，随时都可以给自己缓解一下疲劳。另外代言人好帅！,2021-06-10 12:53:56,0,0,5,2021-06-26 14:11:31,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15871875606,老人家年龄82多了，已经嘱咐过送上门，还让上门取！,2021-06-24 17:51:00,0,1,1,2021-06-26 11:03:05,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15871548230,没想到价格这么便宜，东西却那么超值。每天都要用几遍，解决了我肩膀酸痛的问题。肖战粉丝小飞侠支持肖战代言。,2021-06-10 03:02:48,0,0,5,2021-06-26 09:48:21,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15871546875,非常好，使用很方便，很满意,2021-06-11 19:43:28,0,0,5,2021-06-26 09:46:47,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15871537079,这个用起来真的好，同事体验过后也让我帮忙买了。肖战粉丝小飞侠支持肖战代言。,2021-06-16 11:50:28,0,0,5,2021-06-26 09:46:39,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15871535068,肖战代言的倍轻松真的是好用。,2021-06-16 11:23:40,0,0,5,2021-06-26 09:45:44,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15870786826,非常好用，很舒服,2021-06-07 09:54:52,0,0,5,2021-06-26 00:36:34,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15870267693,冲着代言人肖战买的。价格划算，特别适合我这样的上班族，对着电脑脖子不舒服的时候按摩一下太舒服了,2021-06-18 13:18:06,0,0,5,2021-06-25 21:59:58,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15869590561,小飞侠给爸爸的父亲节礼物，超赞！！！！,2021-06-19 20:49:53,0,0,5,2021-06-25 19:15:11,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15869126610,非常好，感谢京东售后，用了快一年了，坏了，直接帮我换了个新的，用京东，就是放心。,2021-06-23 20:35:14,0,0,5,2021-06-25 17:29:03,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15867610043,肖战粉丝小飞侠：超值超值！送人也适合！,2021-06-02 09:23:29,0,0,5,2021-06-25 12:34:02,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15867601143,肖战粉丝小飞侠：超值超值的产品！,2021-06-02 09:10:37,0,0,5,2021-06-25 12:33:32,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15865534058,肖战粉丝小飞侠支持代言，买给爸爸的，他觉得很舒服,2021-06-20 10:42:22,0,0,5,2021-06-24 23:31:20,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15863934611,哇，给妈妈的母亲节礼物，这么久了才来评价。说多了没用，妈妈说很好用就够了，我回家也用了用，惊艳到我了，有很多模式还可以调整力度，物超所值??！期待肖战的更多高质量代言，支持肖战，冲鸭！,2021-06-06 00:58:58,0,0,5,2021-06-24 17:42:26,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15863940136,好用，这是买的第二个，因为舍友觉得好用，在我的账号上买给她父亲的,2021-06-18 21:48:38,0,0,5,2021-06-24 17:40:16,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15863761685,给妈妈买的，她特别满意,2021-05-09 10:00:40,0,0,5,2021-06-24 17:08:28,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15863560805,按摩披肩宝贝收到了。到家就赶紧体验了一下。59种模式。十几种力度。都能找到适合自己的，真的这款按摩仪真的特别棒，颈椎，肩膀按摩完以后，感觉特别放松舒服，真的是很喜欢。质量也特别好。很有重量感。肖战粉丝小飞侠前来支持肖战代言,2021-06-18 15:18:03,0,0,5,2021-06-24 16:32:34,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15863319708,肩膀有点疼，赶紧在京东下单了这个，如果要和人工按摩比的话，那是没法比的，但是相对于这个价格来说，还可以，只有捶打功能。,2021-06-22 15:13:54,0,0,4,2021-06-24 15:47:51,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15863283219,运动后用了倍轻松的颈椎按摩披肩，也太舒服了！捶打式的能好的缓解疲劳，按摩的模式比较多，性价比极高！肖战粉丝小飞侠支持肖战代言！,2021-06-18 11:11:53,0,0,5,2021-06-24 15:43:14,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15863174663,非常好,2021-06-08 22:04:26,0,0,5,2021-06-24 15:21:31,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15862312050,宝贝收到，我很喜欢，名牌就是质量好，捶打效果好，证书齐全，产品可靠，客戶热情，物流很快。,2021-06-20 20:57:36,0,0,5,2021-06-24 12:38:01,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15861723879,实惠，送父母的，用了感觉还不错 可以按摩全身,2021-06-10 19:47:50,0,0,5,2021-06-24 10:49:58,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15860517216,力道非常好，质量也很好,2021-06-18 09:24:36,0,0,5,2021-06-24 00:36:44,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15859927209,肖战粉丝小飞侠,2021-06-20 19:39:02,0,0,5,2021-06-23 21:56:12,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15857212791,蛮好的，敲打很舒服，支持肖战！,2021-06-03 09:11:30,0,0,5,2021-06-23 13:53:21,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15855741396,真是我买过的最划算的按摩器，非常实用，本来是已经买了肖战代言的颈部按摩器，但是又在评论区看到这款被种草了，买的非常值。,2021-06-06 04:44:09,0,0,5,2021-06-23 09:34:01,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15855173724,一级棒！物流一如既往的nice！肖战代言值得信赖！倍轻松就是好！,2021-06-18 08:55:11,0,0,5,2021-06-23 07:04:15,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15855076609,颈椎病犯了，在网上选中了这一款颈椎按摩仪，用着感觉还不错，力度也适合，也有温热的热敷，体验感还不错。京东物流是一如既往的快速，信任京东。,2021-06-16 20:27:09,0,0,5,2021-06-23 06:07:44,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15854070499,母亲节礼物，妈妈很喜欢，,2021-05-08 20:50:26,0,0,5,2021-06-22 21:49:05,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15853794421,肖战粉丝小飞侠为战而来，东西便宜又好用，值得购买。,2021-06-11 21:23:46,0,0,5,2021-06-22 21:09:05,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15853282787,按摩器已收到，质量很好，比原来买的那一个重量重了不少，我正在体验，闻到有轻微的塑料味，应该是正常的。效果不错，59种模式，和19种力度任意调整，加热功能也挺好的，肩部有一种热乎乎的感觉，包装简约精致，一看就知道是正规厂家的产品，物有所值！,2021-05-10 19:50:25,0,0,5,2021-06-22 19:53:19,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15850437944,送给爸爸的父亲节礼物，老爸很满意，工作完回家休息用很舒服。不愧是肖战代言的，赞?,2021-06-20 14:12:44,0,0,5,2021-06-22 12:02:29,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15850210330,小飞侠二次购买  超级舒服好用,2021-06-17 12:08:43,0,0,5,2021-06-22 11:23:23,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15848957978,"这一款蛮简单的，所以喜欢捶背的入手，我感觉还不错的，价格又便宜，很适合我这种加班人
肖战粉丝小飞侠",2021-06-03 22:21:19,0,0,5,2021-06-22 06:38:02,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15847859731,好像前天下的单，今天就收到了，太棒了！这两天颈椎痛，正好用上?肖战粉丝小飞侠支持肖战代言,2021-06-20 16:06:29,0,0,5,2021-06-21 21:36:26,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15847209429,肖战粉丝小飞侠来啦！哈哈哈哈这个按摩仪简直是便宜又好用，给爸妈买的，他们说特别舒服，点赞,2021-06-08 13:07:01,0,0,5,2021-06-21 19:44:48,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15846835581,因为代言人买了这个牌子的，用着还不错。,2021-06-06 21:55:33,0,0,5,2021-06-21 18:36:55,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
